gia_ban,loai_hinh,dien_tich_dat,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,chieu_ngang,duong_lon,vi_tri_dat,garage,san_vuon,hai_mat_tien,view,vi_tri_trung_tam,truong_hoc,san_bay,benh_vien,sieu_thi,giao_thong,giai_tri,dia_diem_dac_biet,phuong,gia_m2_tham_khao
7500000000.0,"Nhà ngõ, hẻm",68.0,Đã có sổ,3.0,4.0,3.0,Nội thất đầy đủ,Thông thường,5.0,False,False,False,False,False,False,True,True,False,False,False,False,False,True,Phường Thạnh Mỹ Tây,210.0
9500000000.0,"Nhà ngõ, hẻm",80.0,Đã có sổ,3.0,4.0,3.0,Nội thất đầy đủ,Hẻm xe hơi,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Gia Định,170.0
9600000000.0,"Nhà ngõ, hẻm",60.0,Đã có sổ,3.0,4.0,4.0,Nội thất đầy đủ,Thông thường,6.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Phường Bình Thạnh,176.92
7600000000.0,"Nhà ngõ, hẻm",42.2,Đã có sổ,3.0,2.0,2.0,Không rõ,Thông thường,2.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Phường Bình Thạnh,171.74
10800000000.0,"Nhà ngõ, hẻm",60.0,Đã có sổ,5.0,5.0,2.0,Nội thất đầy đủ,Hẻm xe hơi,4.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Phường Gia Định,119.52
3980000000.0,"Nhà ngõ, hẻm",20.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Thông thường,4.3,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Phường Bình Thạnh,171.74
3900000000.0,"Nhà ngõ, hẻm",22.0,Đã có sổ,2.0,3.0,2.0,Không rõ,Thông thường,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,Phường Thạnh Mỹ Tây,131.17
3980000000.0,"Nhà ngõ, hẻm",20.0,Chưa xác định,2.0,3.0,3.0,Không rõ,Thông thường,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Gia Định,170.0
3980000000.0,"Nhà ngõ, hẻm",19.0,Đã có sổ,2.0,3.0,3.0,Nội thất đầy đủ,Thông thường,4.0,False,False,False,False,False,False,False,True,True,True,True,False,False,False,Phường Gia Định,170.0
10290000000.0,"Nhà ngõ, hẻm",55.0,Chưa xác định,5.0,3.0,4.0,Nội thất cao cấp,Thông thường,4.1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Phường Bình Lợi Trung,132.73
4000000000.0,"Nhà ngõ, hẻm",30.0,Đã có sổ,3.0,4.0,4.0,Nội thất đầy đủ,Hẻm xe hơi,4.2,False,False,False,False,False,False,False,True,False,True,True,False,False,False,Phường Bình Lợi Trung,132.73
15000000000.0,"Nhà ngõ, hẻm",64.0,Đã có sổ,5.0,4.0,5.0,Bàn giao thô,Hẻm xe hơi,4.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Phường Thạnh Mỹ Tây,162.29
3550000000.0,"Nhà ngõ, hẻm",20.0,Đã có sổ,2.0,3.0,3.0,Không rõ,Thông thường,4.2,True,False,False,False,False,False,False,False,True,False,True,False,False,False,Phường Bình Lợi Trung,140.0
5450000000.0,"Nhà ngõ, hẻm",40.0,Đã có sổ,2.0,3.0,3.0,Không rõ,Hẻm xe hơi,3.0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,Phường Gia Định,107.78
7900000000.0,"Nhà ngõ, hẻm",52.0,Đã có sổ,2.0,2.0,3.0,Không rõ,Hẻm xe hơi,3.55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Lợi Trung,158.1
6950000000.0,"Nhà ngõ, hẻm",33.0,Chưa xác định,3.0,3.0,3.0,Không rõ,Hẻm xe hơi,4.6,False,True,False,False,False,False,True,False,True,False,True,False,False,False,Phường Gia Định,170.0
8449999999.999999,"Nhà ngõ, hẻm",55.0,Đã có sổ,4.0,5.0,3.0,Nội thất cao cấp,Hẻm xe hơi,5.7,False,False,False,True,False,False,True,False,False,False,True,False,False,False,Phường Gia Định,180.95
3980000000.0,"Nhà ngõ, hẻm",20.0,Đã có sổ,2.0,3.0,3.0,Nội thất đầy đủ,Thông thường,4.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Phường Gia Định,144.55
18000000000.0,"Nhà ngõ, hẻm",110.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Hẻm xe hơi,5.5,False,False,False,True,False,False,True,False,False,False,False,False,False,False,Phường Bình Thạnh,110.0
14500000000.0,"Nhà mặt phố, mặt tiền",64.0,Đã có sổ,6.0,3.0,4.0,Không rõ,Thông thường,4.0,True,False,False,False,False,False,True,True,False,True,False,False,False,False,Phường Gia Định,250.0
6800000000.0,"Nhà ngõ, hẻm",41.3,Đã có sổ,3.0,3.0,3.0,Nội thất đầy đủ,Thông thường,4.2,False,False,False,False,False,False,True,True,False,True,True,False,False,False,Phường Bình Lợi Trung,135.15
8199999999.999999,"Nhà ngõ, hẻm",45.0,Đã có sổ,3.0,3.0,3.0,Không rõ,Hẻm xe hơi,5.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,Phường Gia Định,119.52
2700000000.0,"Nhà ngõ, hẻm",31.0,Đã có sổ,1.0,1.0,2.0,Hoàn thiện cơ bản,Thông thường,2.0,False,False,False,False,False,False,True,False,False,True,True,False,False,False,Phường Bình Thạnh,140.0
6500000000.0,"Nhà ngõ, hẻm",53.0,Đã có sổ,1.0,1.0,3.0,Không rõ,Nhà nát,3.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Phường Gia Định,173.53
5800000000.0,"Nhà ngõ, hẻm",31.0,Đã có sổ,3.0,3.0,2.0,Nội thất đầy đủ,Hẻm xe hơi,4.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Lợi Trung,135.76
10100000000.0,"Nhà ngõ, hẻm",40.0,Đã có sổ,4.0,3.0,6.0,Nội thất đầy đủ,Hẻm xe hơi,4.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Phường Gia Định,173.53
7600000000.0,"Nhà ngõ, hẻm",43.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Hẻm xe hơi,4.3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Phường Bình Thạnh,171.74
3800000000.0,"Nhà mặt phố, mặt tiền",19.0,Đã có sổ,1.0,3.0,2.0,Không rõ,Thông thường,4.3,True,False,False,False,False,False,False,False,True,False,True,False,False,False,Phường Bình Thạnh,213.79
10000000000.0,"Nhà mặt phố, mặt tiền",52.0,Đã có sổ,4.0,3.0,3.0,Không rõ,Thông thường,4.25,True,False,False,True,False,False,True,False,False,False,False,False,False,False,Phường Bình Lợi Trung,142.22
11800000000.0,"Nhà ngõ, hẻm",87.0,Đã có sổ,3.0,5.0,3.0,Không rõ,Hẻm xe hơi,4.2,False,False,False,False,False,False,False,True,True,True,True,False,False,False,Phường Bình Lợi Trung,135.15
9300000000.0,"Nhà ngõ, hẻm",60.0,Đã có sổ,4.0,4.0,4.0,Nội thất đầy đủ,Hẻm xe hơi,5.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Phường Gia Định,140.91
2900000000.0,"Nhà ngõ, hẻm",32.0,Đã có sổ,2.0,2.0,2.0,Không rõ,Thông thường,3.0,True,False,False,True,False,False,False,True,True,False,True,False,False,False,Phường Bình Quới,65.04
2350000000.0,"Nhà ngõ, hẻm",15.0,Đã có sổ,2.0,2.0,3.0,Nội thất cao cấp,Thông thường,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Lợi Trung,157.6
3800000000.0,"Nhà mặt phố, mặt tiền",19.0,Đã có sổ,1.0,2.0,2.0,Không rõ,Thông thường,3.3,True,False,False,False,False,False,True,True,False,False,True,False,False,False,Phường Bình Thạnh,213.79
7880000000.0,"Nhà ngõ, hẻm",50.0,Đã có sổ,4.0,4.0,4.0,Nội thất cao cấp,Hẻm xe hơi,4.0,False,True,False,True,False,False,False,False,False,False,True,False,False,False,Phường Bình Lợi Trung,157.6
7590000000.0,"Nhà ngõ, hẻm",67.0,Đã có sổ,4.0,3.0,2.0,Nội thất cao cấp,Nhà nở hậu,5.2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Phường Bình Thạnh,155.56
19500000000.0,"Nhà ngõ, hẻm",80.0,Đã có sổ,4.0,3.0,4.0,Nội thất đầy đủ,Hẻm xe hơi,4.0,False,False,False,True,False,True,True,False,False,False,False,True,False,True,Phường Thạnh Mỹ Tây,150.0
7650000000.0,"Nhà ngõ, hẻm",40.0,Đã có sổ,3.0,4.0,5.0,Nội thất đầy đủ,Hẻm xe hơi,5.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,Phường Bình Lợi Trung,132.73
7400000000.0,"Nhà ngõ, hẻm",45.0,Đã có sổ,3.0,4.0,4.0,Nội thất đầy đủ,Hiện trạng khác,5.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,Phường Thạnh Mỹ Tây,94.84
16000000000.0,Nhà phố liền kề,125.0,Đã có sổ,5.0,5.0,4.0,Không rõ,Hẻm xe hơi,6.0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,Phường Bình Lợi Trung,151.05
7900000000.0,"Nhà ngõ, hẻm",52.0,Đã có sổ,2.0,2.0,2.0,Hoàn thiện cơ bản,Hẻm xe hơi,3.6,False,False,False,False,False,False,True,False,True,False,False,False,False,False,Phường Bình Lợi Trung,158.1
15999000000.0,"Nhà ngõ, hẻm",64.0,Chưa xác định,4.0,3.0,3.0,Không rõ,Hẻm xe hơi,4.0,True,False,False,True,False,False,True,False,True,True,True,False,False,False,Phường Bình Lợi Trung,162.57
7500000000.0,"Nhà ngõ, hẻm",47.0,Chưa xác định,7.0,3.0,3.0,Không rõ,Thông thường,3.8,True,True,False,False,False,False,True,False,True,False,False,False,True,False,Phường Gia Định,173.53
4590000000.0,"Nhà ngõ, hẻm",25.0,Đã có sổ,2.0,3.0,3.0,Không rõ,Nhà nở hậu,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Phường Gia Định,175.0
22500000000.0,Nhà phố liền kề,90.0,Đã có sổ,10.0,6.0,8.0,Nội thất cao cấp,Hẻm xe hơi,4.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Lợi Trung,151.05
7600000000.0,"Nhà ngõ, hẻm",41.0,Chưa xác định,2.0,3.0,2.0,Không rõ,Hẻm xe hơi,3.7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Phường Thạnh Mỹ Tây,157.89
11900000000.0,"Nhà ngõ, hẻm",81.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Nhà nát,4.06,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Phường Gia Định,170.0
5350000000.0,"Nhà ngõ, hẻm",38.8,Đã có sổ,2.0,2.0,2.0,Nội thất đầy đủ,Thông thường,3.3,True,False,False,False,False,False,True,True,False,False,True,False,False,False,Phường Bình Lợi Trung,162.5
6000000000.0,"Nhà ngõ, hẻm",56.0,Đã có sổ,2.0,2.0,1.0,Nội thất đầy đủ,Thông thường,4.2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,Phường Bình Thạnh,110.0
11980000000.0,Nhà phố liền kề,79.0,Đã có sổ,7.0,6.0,5.0,Nội thất đầy đủ,Hẻm xe hơi,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Thạnh,147.5
7800000000.0,"Nhà ngõ, hẻm",46.0,Đã có sổ,3.0,3.0,3.0,Không rõ,Thông thường,3.8,False,False,False,True,False,False,True,False,False,False,True,False,False,True,Phường Thạnh Mỹ Tây,150.91
